 ,,,Votes,,,Grades,,,,,,,,"Voting points (3,1,0)",Viewing Link,Password ,Contact Notes,Duration,Q&A?
Illumination / Osvjetljavanje,"
",,,,,#DIV/0!,,,,,,,,0,https://vimeo.com/1163929377?share=copy&fl=sv&fe=ci,Osvjetljavanje2502,,,
,,,,,,#DIV/0!,,,,,,,,0,,,,,
,,,,,,#DIV/0!,,,,,,,,0,,,,,
,,,,,,#DIV/0!,,,,,,,,0,,,,,
,,,,,,#DIV/0!,,,,,,,,0,,,,,
,,,,,,#DIV/0!,,,,,,,,0,,,,,
,,,,,,#DIV/0!,,,,,,,,0,,,,,
Other (Experimental / Animated),"
",,,,,#DIV/0!,,,,,,,,,,,,,
Lint,,,,,,#DIV/0!,,,,,,,,0,https://youtu.be/aMFrc8TmSHk?si=kHZdJImEVo1i8wIH,,,7 mins,
Godspotting,,,,,,#DIV/0!,,,,,,,,0,https://www.youtube.com/watch?v=DsXoJDPTaqI,,,12 mins,
,"
",,,,,#DIV/0!,,,,,,,,0,,,,,
,"
",,,,,#DIV/0!,,,,,,,,0,,,,,
,"
",,,,,#DIV/0!,,,,,,,,0,,,,,
,"
",,,,,#DIV/0!,,,,,,,,0,,,,,
,"
",,,,,#DIV/0!,,,,,,,,0,,,,,
,"
",,,,,#DIV/0!,,,,,,,,0,,,,,
,"
",,,,,#DIV/0!,,,,,,,,0,,,,,
,"
",,,,,#DIV/0!,,,,,,,,0,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,,
,"
",,,,,#DIV/0!,,,,,,,,0,,,,,
